0	Introduction	[Important info]
3.2.0	Definition	Activities are the main "action" of the game. By clicking on an activity, you obtain effects from it and allow time to pass. However, you must consider that the area of an activity affects the posibility of something bad happening on the way back from it. You can see where an activity takes place based on the star on the map corresponding to it.
3.2.1	Cost	Activities have different effects on your wallet. Work activities generate money, regular activities consume money. When an activity is shown in a darker color than the rest that means you dont have enough cash to afford it. You can hover your mouse on an activity to see cost and effects on morale.
3.2.2	Work Activities	Work Activities are different from other activities because they don't "consume" money but produce it. They also may drop the morale of the father, so be wary of that.
3.2.3	Shopping	Shopping is important to keep the stock of the house full. The area, specialty and popularity of a shop affects what items it will have, when will it have them, for how much and the risks involved in getting to it. 
3.2.4	Family Time	Family activities are usually expensive or don't benefit the main character that much, however they serve to boost the morale of the rest of the family.
3.2.5	Solo Fun	Solo activities boost the morale of the main character and are usually cheaper than family activities. However, not because you can do something it means you should.
3.3	Pop-Up Windows	Pop-up windows open when you do an activity or something happens in the game. Click anywhere in the screen to dismiss them.
4	Events   	[The two types of events]
4.1	Regular Events	The conditions of the city, the family and the activities you do may give opportunity for events to occur. When an even happens you are faced with a situation that you have no control. These situations might affect your playthrough in a variety of ways.
4.2	Decision Events	Unlike regular events, you do have control over the situation sometimes. When this happens you are given a "decision event" where a situation is presented to you and must make the right decision or face the consequences. Remember that sometimes the best result is that nothing happens.
